City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Anaconda,US,2021-10-19 18:12:46,46.1285,-112.9423,45.59,54,74,3.62
68,Jamestown,US,2021-10-19 18:12:47,42.097,-79.2353,65.52,51,1,8.99
69,Celestun,MX,2021-10-19 18:12:47,20.8667,-90.4,86.88,58,100,3.51
70,Kruisfontein,ZA,2021-10-19 18:12:48,-34.0033,24.7314,59.88,75,0,11.1
71,Albany,US,2021-10-19 18:12:45,42.6001,-73.9662,63.45,49,7,7.0
72,Beira,MZ,2021-10-19 18:12:48,-19.8436,34.8389,72.09,78,100,17.63
73,Westport,US,2021-10-19 18:09:04,41.1415,-73.3579,67.05,53,1,1.01
74,Half Moon Bay,US,2021-10-19 18:08:23,37.4636,-122.4286,64.54,72,1,1.99
75,Port Alfred,ZA,2021-10-19 18:10:56,-33.5906,26.891,61.43,74,0,14.81
76,Sao Joao Da Barra,BR,2021-10-19 18:12:50,-21.6403,-41.0511,71.69,93,100,14.63
77,Olafsvik,IS,2021-10-19 18:12:48,64.8945,-23.7142,38.05,65,48,35.1
78,Bonavista,CA,2021-10-19 18:11:21,48.6499,-53.1147,52.77,77,57,7.87
79,Bilma,NE,2021-10-19 18:12:51,18.6853,12.9164,90.39,12,0,8.61
80,San Patricio,US,2021-10-19 18:12:51,28.017,-97.5169,86.41,52,100,12.71
81,Los Llanos De Aridane,ES,2021-10-19 18:12:52,28.6585,-17.9182,76.12,66,97,13.8
82,Saint-Philippe,RE,2021-10-19 18:12:52,-21.3585,55.7679,72.99,76,70,8.14
83,Buckeye,US,2021-10-19 18:10:53,33.3703,-112.5838,77.81,36,0,1.5
84,Plettenberg Bay,ZA,2021-10-19 18:12:53,-34.0527,23.3716,59.52,82,0,12.35
85,Tiksi,RU,2021-10-19 18:10:58,71.6872,128.8694,17.8,96,100,7.18
86,Pontes E Lacerda,BR,2021-10-19 18:12:53,-15.2261,-59.3353,79.99,57,100,1.48
87,Kodiak,US,2021-10-19 18:11:22,57.79,-152.4072,44.11,76,90,6.91
88,Tasiilaq,GL,2021-10-19 18:12:54,65.6145,-37.6368,33.96,48,5,1.41
89,Shipitsyno,RU,2021-10-19 18:12:54,61.2806,46.5208,31.35,93,77,6.11
90,Bluff,NZ,2021-10-19 18:11:08,-46.6,168.3333,47.53,63,92,11.21
91,Isangel,VU,2021-10-19 18:12:56,-19.55,169.2667,75.61,91,100,4.41
92,Fukue,JP,2021-10-19 18:12:57,32.6881,128.8419,63.86,55,94,20.09
93,Shingu,JP,2021-10-19 18:12:57,33.7333,135.9833,57.83,76,25,9.4
94,Barrow,US,2021-10-19 18:11:06,71.2906,-156.7887,21.22,68,90,16.11
95,Kupang,ID,2021-10-19 18:12:58,-10.1667,123.5833,79.47,85,75,5.23
96,Khatanga,RU,2021-10-19 18:12:59,71.9667,102.5,29.32,90,100,15.52
97,Cacule,BR,2021-10-19 18:12:59,-14.5033,-42.2222,92.23,30,87,0.74
98,Mahebourg,MU,2021-10-19 18:12:59,-20.4081,57.7,73.26,75,35,10.04
99,Porto Velho,BR,2021-10-19 18:13:00,-8.7619,-63.9039,87.85,58,75,2.3
100,College,US,2021-10-19 18:08:38,64.8569,-147.8028,31.66,73,90,3.44
101,Kazlu Ruda,LT,2021-10-19 18:13:00,54.7667,23.5,44.65,59,100,11.25
102,Aykhal,RU,2021-10-19 18:10:54,66.0,111.5,30.56,96,100,19.64
103,Dukat,RU,2021-10-19 18:13:01,62.55,155.55,-2.33,98,100,4.79
104,Cooma,AU,2021-10-19 18:13:02,-36.2333,149.1333,46.17,100,90,12.66
105,Saint George,US,2021-10-19 18:09:42,37.1041,-113.5841,63.07,41,1,1.01
106,Grua,NO,2021-10-19 18:13:02,60.2667,10.6667,33.89,99,100,1.57
107,Berea,US,2021-10-19 18:13:03,41.3662,-81.8543,73.09,50,20,1.99
108,Guerrero Negro,MX,2021-10-19 18:13:04,27.9769,-114.0611,70.05,57,45,15.14
109,Coquimbo,CL,2021-10-19 18:12:43,-29.9533,-71.3436,58.73,77,75,10.36
110,Taoudenni,ML,2021-10-19 18:13:04,22.6783,-3.9836,89.51,13,41,15.59
111,Cap Malheureux,MU,2021-10-19 18:13:05,-19.9842,57.6142,73.47,77,35,3.0
112,Hobart,AU,2021-10-19 18:11:19,-42.8794,147.3294,40.26,86,49,1.01
113,Peleduy,RU,2021-10-19 18:12:15,59.6289,112.7406,33.96,96,100,8.99
114,Broken Hill,AU,2021-10-19 18:13:06,-31.95,141.4333,55.89,39,13,9.55
115,Maragogi,BR,2021-10-19 18:13:06,-9.0122,-35.2225,80.98,71,74,10.4
116,Tura,IN,2021-10-19 18:12:23,25.5198,90.2201,71.64,99,100,2.55
117,Vanimo,PG,2021-10-19 18:13:07,-2.6741,141.3028,77.83,90,100,3.71
118,Mahmudia,RO,2021-10-19 18:13:07,45.0833,29.0833,52.14,51,70,3.2
119,Yarada,IN,2021-10-19 18:13:08,17.65,83.2667,80.92,94,90,3.44
120,Porto Walter,BR,2021-10-19 18:13:08,-8.2686,-72.7439,85.57,62,99,3.44
121,Lompoc,US,2021-10-19 18:13:09,34.6391,-120.4579,69.69,63,1,3.44
122,Mehamn,NO,2021-10-19 18:13:09,71.0357,27.8492,30.11,86,40,6.91
123,Fairbanks,US,2021-10-19 18:10:45,64.8378,-147.7164,30.24,77,90,3.44
124,Guiratinga,BR,2021-10-19 18:13:11,-16.3494,-53.7583,86.32,47,84,5.17
125,Yulara,AU,2021-10-19 18:13:11,-25.2406,130.9889,71.44,28,21,0.0
126,Urumqi,CN,2021-10-19 18:13:12,43.801,87.6005,45.55,49,0,6.71
127,Bilibino,RU,2021-10-19 18:10:17,68.0546,166.4372,3.34,96,100,3.02
128,Victoria,HK,2021-10-19 18:12:01,22.2855,114.1577,79.32,80,75,4.0
129,Bambous Virieux,MU,2021-10-19 18:11:32,-20.3428,57.7575,73.22,75,42,10.27
130,Lucea,JM,2021-10-19 18:13:13,18.451,-78.1736,87.66,75,71,13.09
131,Chandbali,IN,2021-10-19 18:13:13,20.7833,86.7667,78.42,92,100,4.29
132,San Policarpo,PH,2021-10-19 18:13:14,12.1791,125.5072,81.27,80,87,4.29
133,Kaeo,NZ,2021-10-19 18:12:26,-35.1,173.7833,52.32,95,39,5.86
134,Caruray,PH,2021-10-19 18:13:15,10.3094,119.0128,80.13,87,77,5.7
135,Oranjestad,AW,2021-10-19 18:10:14,12.524,-70.027,89.55,66,40,19.57
136,Salalah,OM,2021-10-19 18:09:26,17.0151,54.0924,78.89,83,75,5.75
137,Torbay,CA,2021-10-19 18:12:44,47.6666,-52.7314,59.88,69,1,6.93
138,Bathsheba,BB,2021-10-19 18:12:27,13.2167,-59.5167,88.41,62,40,16.11
139,Uri,IN,2021-10-19 18:13:17,34.0833,74.0333,58.86,68,0,3.65
140,Hilo,US,2021-10-19 18:10:52,19.7297,-155.09,74.25,89,90,6.91
141,Dharchula,IN,2021-10-19 18:13:17,29.85,80.5333,65.48,88,89,3.06
142,Bollnas,SE,2021-10-19 18:13:18,61.3482,16.3946,37.38,98,100,5.57
143,Sitka,US,2021-10-19 18:13:18,57.0531,-135.33,51.69,50,90,20.71
144,Bambanglipuro,ID,2021-10-19 18:13:18,-7.95,110.2833,77.56,86,98,2.55
