City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Salalah,OM,2021-10-26 22:59:48,17.0151,54.0924,76.28,66,10,3.13
68,Erzin,TR,2021-10-26 22:59:48,36.9559,36.2,55.92,36,55,4.76
69,Seydi,TM,2021-10-26 22:59:49,39.4816,62.9137,54.84,57,100,7.11
70,Dhidhdhoo,MV,2021-10-26 22:59:49,6.8833,73.1,81.54,73,97,12.08
71,Camapua,BR,2021-10-26 22:59:49,-19.5314,-54.0439,76.98,72,98,5.53
72,Pisco,PE,2021-10-26 22:59:50,-13.7,-76.2167,66.25,68,0,19.57
73,Jamestown,US,2021-10-26 22:54:57,42.097,-79.2353,44.19,96,90,10.0
74,Bonthe,SL,2021-10-26 22:59:50,7.5264,-12.505,78.44,82,97,3.36
75,Kirakira,SB,2021-10-26 22:59:51,-10.4544,161.9205,86.34,67,55,4.65
76,Haines Junction,CA,2021-10-26 22:59:51,60.7522,-137.5108,26.55,80,100,1.14
77,Lebu,CL,2021-10-26 22:59:52,-37.6167,-73.65,53.37,81,0,16.58
78,Alugan,PH,2021-10-26 22:59:52,12.2188,125.4808,80.91,84,81,10.74
79,Pingliang,CN,2021-10-26 22:59:53,35.5392,106.6861,45.32,74,100,0.87
80,Avarua,CK,2021-10-26 22:59:53,-21.2078,-159.775,78.85,61,20,14.97
81,Barrow,US,2021-10-26 22:59:51,71.2906,-156.7887,11.64,98,99,5.44
82,Lazaro Cardenas,MX,2021-10-26 22:59:54,17.9583,-102.2,81.79,80,97,5.66
83,Samarai,PG,2021-10-26 22:59:54,-10.6167,150.6667,82.27,79,55,8.97
84,Dunmore East,IE,2021-10-26 22:59:55,52.1514,-6.9861,61.77,91,100,28.68
85,Hilo,US,2021-10-26 22:59:55,19.7297,-155.09,81.81,80,35,7.0
86,Lorengau,PG,2021-10-26 22:59:56,-2.0226,147.2712,84.96,66,30,3.83
87,Kodiak,US,2021-10-26 22:59:56,57.79,-152.4072,37.78,68,100,12.84
88,Lethem,GY,2021-10-26 22:59:57,3.3803,-59.7968,79.23,73,90,0.67
89,El Alto,PE,2021-10-26 22:59:57,-4.2714,-81.2147,65.86,79,99,12.41
90,Upernavik,GL,2021-10-26 22:59:56,72.7868,-56.1549,15.51,48,34,5.17
91,Guerrero Negro,MX,2021-10-26 22:55:09,27.9769,-114.0611,68.83,57,0,20.11
92,Siverek,TR,2021-10-26 22:59:58,37.755,39.3167,52.41,21,77,9.62
93,Kruisfontein,ZA,2021-10-26 22:55:16,-34.0033,24.7314,64.89,79,98,18.32
94,Chokurdakh,RU,2021-10-26 22:55:00,70.6333,147.9167,-4.94,97,97,4.94
95,San Francisco De Macoris,DO,2021-10-26 22:59:59,19.2952,-70.2554,86.68,79,30,3.65
96,Hermanus,ZA,2021-10-26 23:00:00,-34.4187,19.2345,66.9,82,100,16.64
97,Eureka,US,2021-10-26 23:00:00,40.8021,-124.1637,60.37,70,100,5.01
98,Togur,RU,2021-10-26 23:00:01,58.3631,82.8265,25.92,67,100,22.55
99,Deputatskiy,RU,2021-10-26 23:00:02,69.3,139.9,-0.38,96,100,2.39
100,Corrente,BR,2021-10-26 23:00:03,-3.7367,-43.3394,80.35,69,39,6.49
101,Yellowknife,CA,2021-10-26 23:00:04,62.456,-114.3525,40.41,100,90,6.91
102,Torbay,CA,2021-10-26 23:00:05,47.6666,-52.7314,40.28,90,64,5.01
103,Mildura,AU,2021-10-26 23:00:06,-34.2,142.15,78.08,23,22,20.49
104,Wagar,SD,2021-10-26 23:00:07,16.1525,36.2032,85.33,52,44,7.14
105,Ponta Do Sol,PT,2021-10-26 23:00:08,32.6667,-17.1,70.43,68,18,6.11
106,Cochrane,CA,2021-10-26 23:00:09,51.1834,-114.4687,54.61,31,28,9.95
107,Chunoyar,RU,2021-10-26 23:00:09,57.4467,97.3217,45.95,65,100,13.13
108,Esperance,AU,2021-10-26 23:00:10,-33.8667,121.9,53.83,75,8,10.98
109,Brae,GB,2021-10-26 23:00:11,60.3964,-1.353,53.51,93,100,23.0
110,Zuidhorn,NL,2021-10-26 23:00:12,53.2467,6.4028,57.15,74,90,1.01
111,Atar,MR,2021-10-26 23:00:13,20.5169,-13.0499,84.15,31,63,10.78
112,Devils Lake,US,2021-10-26 23:00:15,48.1128,-98.8651,48.94,71,100,10.0
113,Tautira,PF,2021-10-26 22:55:48,-17.7333,-149.15,82.42,81,47,10.87
114,Victoria,HK,2021-10-26 22:58:12,22.2855,114.1577,78.33,80,98,1.99
115,Labuhan,ID,2021-10-26 23:00:17,-6.8844,112.2051,79.75,80,93,9.24
116,Port Pirie,AU,2021-10-26 23:00:18,-33.1833,138.0167,73.49,33,91,7.11
117,Willowmore,ZA,2021-10-26 23:00:18,-33.2926,23.4895,59.09,84,76,13.87
118,Saint George,US,2021-10-26 23:00:10,37.1041,-113.5841,63.43,37,90,5.99
119,Sladkovo,RU,2021-10-26 23:00:19,55.5284,70.3385,27.3,73,75,9.48
120,Vila Velha,BR,2021-10-26 22:55:53,-20.3297,-40.2925,76.95,83,40,5.75
121,Necochea,AR,2021-10-26 23:00:21,-38.5473,-58.7368,63.03,51,1,8.28
122,Nikolskoye,RU,2021-10-26 23:00:21,59.7035,30.7861,44.87,92,100,7.85
123,Nieuw Amsterdam,SR,2021-10-26 23:00:22,5.8833,-55.0833,80.02,91,92,8.86
124,Leningradskiy,RU,2021-10-26 22:57:09,69.3833,178.4167,9.03,94,100,22.64
125,Balyaga,RU,2021-10-26 23:00:23,51.1507,108.921,29.28,83,6,3.2
126,Boone,US,2021-10-26 23:00:23,39.0334,-92.3335,62.65,56,0,5.01
127,Arrecife,ES,2021-10-26 23:00:23,28.963,-13.5477,69.87,64,20,10.36
128,Belmonte,BR,2021-10-26 22:59:05,-15.8631,-38.8828,79.3,84,11,9.78
129,Lasa,IT,2021-10-26 22:55:39,46.6166,10.7002,35.62,80,28,3.04
