City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
77,Magadan,RU,24.62,broken clouds,59.5667,150.8,Magadan hotel
78,Shillong,IN,54.63,clear sky,25.5689,91.8831,Cafe Shillong Bed and Breakfast
80,Kodiak,US,40.51,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
82,Zalari,RU,36.14,broken clouds,53.5584,102.5065,"""Belyye Rosy"""
83,Carnarvon,AU,68.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
84,Niono,ML,91.18,overcast clouds,14.2526,-5.993,Hôtel Campement
85,Trairi,BR,80.17,clear sky,-3.2778,-39.2689,janelas do mar
86,Barrow,US,24.82,overcast clouds,71.2906,-156.7887,King Eider Inn
87,Itarema,BR,80.13,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
88,Cidreira,BR,69.24,clear sky,-30.1811,-50.2056,Hotel Castelo
89,Ponta Do Sol,PT,70.43,few clouds,32.6667,-17.1,Hotel do Campo
90,Coihaique,CL,55.35,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
91,Saurimo,AO,64.47,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
92,Codrington,AU,64.89,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
93,Amahai,ID,81.97,broken clouds,-3.3333,128.9167,HOTEL ISABELA
94,Vao,NC,72.39,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
95,Barabai,ID,76.37,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
96,Jamestown,US,44.19,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
98,Mahebourg,MU,73.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
99,Atuona,PF,77.52,clear sky,-9.8,-139.0333,Villa Enata
101,Katsuura,JP,62.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
102,Darab,IR,62.26,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
103,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
104,Nikolskoye,RU,44.4,light rain,59.7035,30.7861,Tourist House - Sablino
105,Qaqortoq,GL,36.1,scattered clouds,60.7167,-46.0333,Siniffik Inn
106,Constitucion,CL,56.19,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
107,Mastic Beach,US,61.54,moderate rain,40.7668,-72.8521,Brushwood House by Smith Point Beach
108,Panlaitan,PH,82.04,broken clouds,12.1191,119.8486,Panlaitan Cetro Beach
109,Bac Lieu,VN,76.24,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
110,Innisfail,AU,86.88,broken clouds,-17.5333,146.0333,Moondarra Motel
111,Inhambane,MZ,71.53,clear sky,-23.865,35.3833,Oceano
112,Sabang,ID,80.83,overcast clouds,5.8933,95.3214,Hotel Citra
113,Vanimo,PG,80.13,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
115,Ratnagiri,IN,74.89,clear sky,16.9833,73.3,Hotel Landmark
116,Hobart,AU,62.26,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
117,Qaanaaq,GL,18.91,light snow,77.484,-69.3632,Qaanaaq Hotel
118,Novyy Urengoy,RU,19.53,overcast clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
119,Souillac,MU,73.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
120,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
121,Tasiilaq,GL,37.56,overcast clouds,65.6145,-37.6368,The Red House
122,Moberly,US,61.05,overcast clouds,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
124,Nhulunbuy,AU,88.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
125,Cape Town,ZA,67.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
126,Kaitangata,NZ,60.55,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
128,Moron,AR,84.99,clear sky,-34.6534,-58.6198,Hotel Morón
129,Whitehorse,CA,32.09,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
131,Tuktoyaktuk,CA,28.4,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
132,Ikwiriri,TZ,72.84,broken clouds,-7.9562,38.9716,Greenland lodge
133,Gravdal,NO,42.62,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
134,Namatanai,PG,84.97,light rain,-3.6667,152.4333,Seagulls Inn Namatani
135,Sitka,US,51.69,light rain,57.0531,-135.33,Westmark Sitka
136,Lebu,CL,53.37,clear sky,-37.6167,-73.65,Hostal Las Lilas
137,Hithadhoo,MV,83.01,overcast clouds,-0.6,73.0833,Scoop Guest House
138,Biscarrosse,FR,53.35,fog,44.3945,-1.1672,Saint Hubert
139,Jinchang,CN,38.32,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
140,Chumikan,RU,36.19,light rain,54.7183,135.315,Fortuna
141,Saldanha,ZA,65.66,broken clouds,-33.0117,17.9442,Blue Bay Lodge
142,Baiyin,CN,40.08,broken clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
143,Ambon,ID,80.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
144,Torbay,CA,40.39,overcast clouds,47.6666,-52.7314,Gallows Cove
145,Athabasca,CA,53.29,broken clouds,54.7169,-113.2854,Athabasca Lodge Motel
146,Qianan,CN,38.3,scattered clouds,44.9932,124.0581,Qian'an Hotel
147,Grand Gaube,MU,73.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
148,Pevek,RU,10.65,overcast clouds,69.7008,170.3133,Severnoye Zoloto
149,Kastamonu,TR,35.56,clear sky,41.5,33.6667,Kasaba Orencik Koyu Muhtarligi
150,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
151,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
153,Leh,IN,28.42,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
155,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
156,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
157,Vigrestad,NO,52.81,moderate rain,58.5667,5.7,Brusand Camping
158,Port Lincoln,AU,66.58,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
159,Inuvik,CA,27.46,overcast clouds,68.3499,-133.7218,Nova Inn Inuvik
160,Otradnoye,RU,44.56,light rain,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
161,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
162,Kaseda,JP,56.43,broken clouds,31.4167,130.3167,Sun Stay Kaseda
163,Arraial Do Cabo,BR,73.36,light rain,-22.9661,-42.0278,Pousada Porto Praia
164,Dingle,PH,78.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
165,Hamilton,US,53.04,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
166,Carutapera,BR,80.06,few clouds,-1.195,-46.02,Lidera
167,Sao Jose De Ribamar,BR,82.78,clear sky,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
168,Fez,MA,62.85,clear sky,34.0372,-4.9998,Hotel Mounia Fès
169,Acarau,BR,80.24,clear sky,-2.8856,-40.12,castelo pizzaria
170,Bambous Virieux,MU,73.22,light rain,-20.3428,57.7575,Casa Tia Villa
171,Dungarpur,IN,69.87,few clouds,23.8333,73.7167,Gayatri Hotel
173,Zastron,ZA,58.57,broken clouds,-30.3023,27.084,Highlands Guest House
174,Pozo Colorado,PY,75.96,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
175,Longyearbyen,SJ,15.64,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
176,Maroantsetra,MG,70.84,scattered clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
